"date","id","totalCalls","answeredCalls","sales"
2015-01-01,19,NA,NA,NA
2015-01-02,19,44,5,1
2015-01-03,19,NA,NA,NA
2015-01-04,19,61,16,1
2015-01-05,19,NA,NA,NA
2015-01-06,19,NA,NA,NA
2015-01-07,19,NA,NA,NA
2015-01-08,19,NA,NA,NA
2015-01-09,19,NA,NA,NA
2015-01-10,19,NA,NA,NA
2015-01-11,19,NA,NA,NA
2015-01-12,19,NA,NA,NA
2015-01-13,19,NA,NA,NA
2015-01-14,19,NA,NA,NA
2015-01-15,19,NA,NA,NA
2015-01-16,19,NA,NA,NA
2015-01-17,19,NA,NA,NA
2015-01-18,19,NA,NA,NA
2015-01-19,19,83,12,3
2015-01-20,19,NA,NA,NA
2015-01-21,19,NA,NA,NA
2015-01-22,19,NA,NA,NA
2015-01-23,19,NA,NA,NA
2015-01-24,19,NA,NA,NA
2015-01-25,19,NA,NA,NA
2015-01-26,19,NA,NA,NA
2015-01-27,19,80,16,3
2015-01-28,19,69,7,0
2015-01-29,19,NA,NA,NA
2015-01-30,19,NA,NA,NA
2015-01-31,19,NA,NA,NA
2015-02-01,19,NA,NA,NA
2015-02-02,19,NA,NA,NA
2015-02-03,19,NA,NA,NA
2015-02-04,19,NA,NA,NA
2015-02-05,19,NA,NA,NA
2015-02-06,19,NA,NA,NA
2015-02-07,19,75,19,3
2015-02-08,19,NA,NA,NA
2015-02-09,19,NA,NA,NA
2015-02-10,19,32,6,1
2015-02-11,19,NA,NA,NA
2015-02-12,19,72,24,7
2015-02-13,19,NA,NA,NA
2015-02-14,19,NA,NA,NA
2015-02-15,19,NA,NA,NA
2015-02-16,19,37,9,0
2015-02-17,19,69,19,4
2015-02-18,19,NA,NA,NA
2015-02-19,19,NA,NA,NA
2015-02-20,19,NA,NA,NA
2015-02-21,19,NA,NA,NA
2015-02-22,19,74,9,1
2015-02-23,19,80,27,6
2015-02-24,19,82,23,2
2015-02-25,19,NA,NA,NA
2015-02-26,19,54,19,4
2015-02-27,19,NA,NA,NA
2015-02-28,19,NA,NA,NA
2015-03-01,19,NA,NA,NA
2015-03-02,19,NA,NA,NA
2015-03-03,19,NA,NA,NA
2015-03-04,19,40,7,1
2015-03-05,19,55,19,2
2015-03-06,19,NA,NA,NA
2015-03-07,19,NA,NA,NA
2015-03-08,19,NA,NA,NA
2015-03-09,19,NA,NA,NA
2015-03-10,19,NA,NA,NA
2015-03-11,19,85,23,6
2015-03-12,19,NA,NA,NA
2015-03-13,19,NA,NA,NA
2015-03-14,19,42,6,0
2015-03-15,19,NA,NA,NA
2015-03-16,19,40,6,0
2015-03-17,19,NA,NA,NA
2015-03-18,19,NA,NA,NA
2015-03-19,19,NA,NA,NA
2015-03-20,19,77,29,6
2015-03-21,19,NA,NA,NA
2015-03-22,19,NA,NA,NA
