"date","id","totalCalls","answeredCalls","sales"
2015-01-01,144,40,11,4
2015-01-02,144,NA,NA,NA
2015-01-03,144,41,16,4
2015-01-04,144,19,10,3
2015-01-05,144,23,10,2
2015-01-06,144,16,4,0
2015-01-07,144,39,12,2
2015-01-08,144,NA,NA,NA
2015-01-09,144,NA,NA,NA
2015-01-10,144,NA,NA,NA
2015-01-11,144,27,6,1
2015-01-12,144,15,9,1
2015-01-13,144,NA,NA,NA
2015-01-14,144,NA,NA,NA
2015-01-15,144,16,8,1
2015-01-16,144,NA,NA,NA
2015-01-17,144,33,20,5
2015-01-18,144,28,9,2
2015-01-19,144,NA,NA,NA
2015-01-20,144,41,7,1
2015-01-21,144,NA,NA,NA
2015-01-22,144,NA,NA,NA
2015-01-23,144,NA,NA,NA
2015-01-24,144,NA,NA,NA
2015-01-25,144,42,10,2
2015-01-26,144,22,6,1
2015-01-27,144,46,26,7
2015-01-28,144,36,11,2
2015-01-29,144,NA,NA,NA
2015-01-30,144,NA,NA,NA
2015-01-31,144,29,11,2
2015-02-01,144,NA,NA,NA
2015-02-02,144,NA,NA,NA
2015-02-03,144,NA,NA,NA
2015-02-04,144,NA,NA,NA
2015-02-05,144,NA,NA,NA
2015-02-06,144,NA,NA,NA
2015-02-07,144,NA,NA,NA
2015-02-08,144,NA,NA,NA
2015-02-09,144,NA,NA,NA
2015-02-10,144,NA,NA,NA
2015-02-11,144,30,12,1
2015-02-12,144,NA,NA,NA
2015-02-13,144,24,10,1
2015-02-14,144,29,4,0
2015-02-15,144,NA,NA,NA
2015-02-16,144,34,10,2
2015-02-17,144,NA,NA,NA
2015-02-18,144,NA,NA,NA
2015-02-19,144,NA,NA,NA
2015-02-20,144,NA,NA,NA
2015-02-21,144,35,7,1
2015-02-22,144,22,5,1
2015-02-23,144,20,7,1
2015-02-24,144,47,15,2
2015-02-25,144,NA,NA,NA
2015-02-26,144,NA,NA,NA
2015-02-27,144,NA,NA,NA
2015-02-28,144,NA,NA,NA
2015-03-01,144,NA,NA,NA
2015-03-02,144,29,4,1
2015-03-03,144,NA,NA,NA
2015-03-04,144,NA,NA,NA
2015-03-05,144,47,24,8
2015-03-06,144,NA,NA,NA
2015-03-07,144,NA,NA,NA
2015-03-08,144,NA,NA,NA
2015-03-09,144,NA,NA,NA
2015-03-10,144,NA,NA,NA
2015-03-11,144,29,5,1
2015-03-12,144,33,7,2
2015-03-13,144,NA,NA,NA
2015-03-14,144,50,31,10
2015-03-15,144,NA,NA,NA
2015-03-16,144,NA,NA,NA
2015-03-17,144,NA,NA,NA
2015-03-18,144,NA,NA,NA
2015-03-19,144,NA,NA,NA
2015-03-20,144,NA,NA,NA
2015-03-21,144,NA,NA,NA
2015-03-22,144,NA,NA,NA
2015-03-23,144,NA,NA,NA
2015-03-24,144,NA,NA,NA
2015-03-25,144,23,8,2
2015-03-26,144,33,18,4
2015-03-27,144,21,13,3
2015-03-28,144,27,16,5
2015-03-29,144,21,6,1
2015-03-30,144,NA,NA,NA
2015-03-31,144,46,19,3
2015-04-01,144,23,6,0
2015-04-02,144,NA,NA,NA
2015-04-03,144,16,8,2
2015-04-04,144,NA,NA,NA
2015-04-05,144,NA,NA,NA
2015-04-06,144,NA,NA,NA
2015-04-07,144,NA,NA,NA
2015-04-08,144,NA,NA,NA
2015-04-09,144,NA,NA,NA
2015-04-10,144,34,14,5
2015-04-11,144,21,11,2
2015-04-12,144,30,12,1
2015-04-13,144,NA,NA,NA
2015-04-14,144,NA,NA,NA
2015-04-15,144,42,10,2
2015-04-16,144,NA,NA,NA
2015-04-17,144,NA,NA,NA
2015-04-18,144,32,9,3
2015-04-19,144,NA,NA,NA
2015-04-20,144,NA,NA,NA
2015-04-21,144,32,10,2
2015-04-22,144,NA,NA,NA
2015-04-23,144,NA,NA,NA
2015-04-24,144,NA,NA,NA
2015-04-25,144,NA,NA,NA
2015-04-26,144,NA,NA,NA
2015-04-27,144,NA,NA,NA
2015-04-28,144,NA,NA,NA
2015-04-29,144,39,10,3
2015-04-30,144,39,14,3
2015-05-01,144,NA,NA,NA
2015-05-02,144,33,19,5
2015-05-03,144,NA,NA,NA
2015-05-04,144,NA,NA,NA
2015-05-05,144,NA,NA,NA
2015-05-06,144,NA,NA,NA
2015-05-07,144,NA,NA,NA
2015-05-08,144,NA,NA,NA
2015-05-09,144,23,12,4
2015-05-10,144,NA,NA,NA
2015-05-11,144,26,11,1
2015-05-12,144,NA,NA,NA
2015-05-13,144,NA,NA,NA
2015-05-14,144,34,12,1
2015-05-15,144,NA,NA,NA
2015-05-16,144,NA,NA,NA
2015-05-17,144,45,15,5
2015-05-18,144,21,3,0
2015-05-19,144,NA,NA,NA
2015-05-20,144,40,21,5
2015-05-21,144,NA,NA,NA
2015-05-22,144,36,10,3
2015-05-23,144,NA,NA,NA
2015-05-24,144,27,15,3
2015-05-25,144,NA,NA,NA
2015-05-26,144,NA,NA,NA
2015-05-27,144,NA,NA,NA
2015-05-28,144,NA,NA,NA
2015-05-29,144,42,20,3
2015-05-30,144,NA,NA,NA
2015-05-31,144,NA,NA,NA
2015-06-01,144,NA,NA,NA
2015-06-02,144,42,17,2
2015-06-03,144,NA,NA,NA
2015-06-04,144,50,15,4
2015-06-05,144,NA,NA,NA
2015-06-06,144,NA,NA,NA
2015-06-07,144,NA,NA,NA
2015-06-08,144,24,5,0
2015-06-09,144,NA,NA,NA
2015-06-10,144,29,13,3
2015-06-11,144,25,4,1
2015-06-12,144,NA,NA,NA
2015-06-13,144,NA,NA,NA
2015-06-14,144,NA,NA,NA
2015-06-15,144,NA,NA,NA
2015-06-16,144,NA,NA,NA
2015-06-17,144,NA,NA,NA
2015-06-18,144,NA,NA,NA
2015-06-19,144,48,28,8
2015-06-20,144,NA,NA,NA
2015-06-21,144,NA,NA,NA
2015-06-22,144,NA,NA,NA
2015-06-23,144,NA,NA,NA
2015-06-24,144,NA,NA,NA
2015-06-25,144,NA,NA,NA
2015-06-26,144,NA,NA,NA
2015-06-27,144,NA,NA,NA
2015-06-28,144,NA,NA,NA
2015-06-29,144,NA,NA,NA
2015-06-30,144,NA,NA,NA
2015-07-01,144,NA,NA,NA
2015-07-02,144,NA,NA,NA
2015-07-03,144,NA,NA,NA
2015-07-04,144,NA,NA,NA
2015-07-05,144,NA,NA,NA
2015-07-06,144,42,15,3
2015-07-07,144,NA,NA,NA
2015-07-08,144,NA,NA,NA
2015-07-09,144,16,7,1
2015-07-10,144,NA,NA,NA
2015-07-11,144,NA,NA,NA
2015-07-12,144,20,10,2
2015-07-13,144,NA,NA,NA
2015-07-14,144,NA,NA,NA
2015-07-15,144,NA,NA,NA
2015-07-16,144,NA,NA,NA
2015-07-17,144,NA,NA,NA
2015-07-18,144,NA,NA,NA
2015-07-19,144,NA,NA,NA
2015-07-20,144,32,13,2
2015-07-21,144,NA,NA,NA
2015-07-22,144,NA,NA,NA
2015-07-23,144,NA,NA,NA
2015-07-24,144,31,6,1
2015-07-25,144,NA,NA,NA
2015-07-26,144,NA,NA,NA
2015-07-27,144,38,17,4
2015-07-28,144,28,13,2
2015-07-29,144,NA,NA,NA
2015-07-30,144,NA,NA,NA
2015-07-31,144,NA,NA,NA
2015-08-01,144,NA,NA,NA
2015-08-02,144,NA,NA,NA
2015-08-03,144,35,18,4
2015-08-04,144,NA,NA,NA
2015-08-05,144,38,9,2
2015-08-06,144,50,26,4
2015-08-07,144,41,16,4
2015-08-08,144,NA,NA,NA
2015-08-09,144,47,16,5
2015-08-10,144,41,22,6
2015-08-11,144,NA,NA,NA
2015-08-12,144,NA,NA,NA
2015-08-13,144,NA,NA,NA
2015-08-14,144,NA,NA,NA
2015-08-15,144,NA,NA,NA
2015-08-16,144,NA,NA,NA
2015-08-17,144,NA,NA,NA
2015-08-18,144,36,17,2
2015-08-19,144,NA,NA,NA
2015-08-20,144,NA,NA,NA
2015-08-21,144,38,9,3
2015-08-22,144,NA,NA,NA
2015-08-23,144,24,6,2
2015-08-24,144,23,5,1
2015-08-25,144,NA,NA,NA
2015-08-26,144,NA,NA,NA
2015-08-27,144,NA,NA,NA
2015-08-28,144,NA,NA,NA
2015-08-29,144,NA,NA,NA
2015-08-30,144,NA,NA,NA
2015-08-31,144,36,12,1
2015-09-01,144,NA,NA,NA
2015-09-02,144,NA,NA,NA
2015-09-03,144,NA,NA,NA
2015-09-04,144,NA,NA,NA
2015-09-05,144,48,23,7
2015-09-06,144,30,8,2
2015-09-07,144,NA,NA,NA
2015-09-08,144,NA,NA,NA
2015-09-09,144,NA,NA,NA
2015-09-10,144,NA,NA,NA
2015-09-11,144,18,8,1
2015-09-12,144,43,19,5
2015-09-13,144,NA,NA,NA
2015-09-14,144,NA,NA,NA
2015-09-15,144,NA,NA,NA
2015-09-16,144,22,6,1
2015-09-17,144,NA,NA,NA
2015-09-18,144,26,9,2
2015-09-19,144,37,11,3
2015-09-20,144,30,14,4
2015-09-21,144,43,22,4
2015-09-22,144,47,21,4
2015-09-23,144,49,19,6
2015-09-24,144,37,9,1
2015-09-25,144,49,10,1
2015-09-26,144,NA,NA,NA
2015-09-27,144,NA,NA,NA
2015-09-28,144,NA,NA,NA
2015-09-29,144,34,10,1
2015-09-30,144,NA,NA,NA
2015-10-01,144,43,22,8
2015-10-02,144,NA,NA,NA
2015-10-03,144,NA,NA,NA
2015-10-04,144,NA,NA,NA
2015-10-05,144,48,20,5
2015-10-06,144,NA,NA,NA
2015-10-07,144,NA,NA,NA
2015-10-08,144,20,5,0
2015-10-09,144,NA,NA,NA
2015-10-10,144,NA,NA,NA
2015-10-11,144,39,19,6
2015-10-12,144,NA,NA,NA
2015-10-13,144,NA,NA,NA
