"date","id","totalCalls","answeredCalls","sales"
2015-01-01,118,NA,NA,NA
2015-01-02,118,NA,NA,NA
2015-01-03,118,NA,NA,NA
2015-01-04,118,44,20,3
2015-01-05,118,33,8,3
2015-01-06,118,NA,NA,NA
2015-01-07,118,NA,NA,NA
2015-01-08,118,65,36,8
2015-01-09,118,77,10,2
2015-01-10,118,40,25,9
2015-01-11,118,NA,NA,NA
2015-01-12,118,NA,NA,NA
2015-01-13,118,NA,NA,NA
2015-01-14,118,36,13,4
2015-01-15,118,NA,NA,NA
2015-01-16,118,53,11,3
2015-01-17,118,NA,NA,NA
2015-01-18,118,67,15,4
2015-01-19,118,NA,NA,NA
2015-01-20,118,73,42,6
2015-01-21,118,NA,NA,NA
2015-01-22,118,56,33,5
2015-01-23,118,NA,NA,NA
2015-01-24,118,56,34,14
2015-01-25,118,74,43,8
2015-01-26,118,NA,NA,NA
2015-01-27,118,39,13,4
2015-01-28,118,70,16,4
2015-01-29,118,NA,NA,NA
2015-01-30,118,61,25,8
2015-01-31,118,NA,NA,NA
2015-02-01,118,37,18,4
2015-02-02,118,31,6,2
2015-02-03,118,37,12,5
2015-02-04,118,NA,NA,NA
2015-02-05,118,49,29,9
2015-02-06,118,70,18,5
2015-02-07,118,NA,NA,NA
2015-02-08,118,67,38,7
2015-02-09,118,77,39,7
2015-02-10,118,NA,NA,NA
2015-02-11,118,59,12,3
2015-02-12,118,35,11,1
2015-02-13,118,76,35,11
2015-02-14,118,39,10,1
2015-02-15,118,NA,NA,NA
2015-02-16,118,NA,NA,NA
2015-02-17,118,51,8,1
2015-02-18,118,42,12,4
2015-02-19,118,73,19,7
2015-02-20,118,NA,NA,NA
2015-02-21,118,NA,NA,NA
2015-02-22,118,32,17,6
2015-02-23,118,NA,NA,NA
2015-02-24,118,NA,NA,NA
2015-02-25,118,NA,NA,NA
2015-02-26,118,NA,NA,NA
2015-02-27,118,66,18,4
2015-02-28,118,69,24,9
2015-03-01,118,51,20,5
2015-03-02,118,53,25,5
2015-03-03,118,NA,NA,NA
2015-03-04,118,NA,NA,NA
2015-03-05,118,51,8,1
2015-03-06,118,NA,NA,NA
2015-03-07,118,NA,NA,NA
2015-03-08,118,73,23,5
2015-03-09,118,42,20,7
2015-03-10,118,NA,NA,NA
2015-03-11,118,40,18,2
2015-03-12,118,71,40,10
2015-03-13,118,58,10,1
2015-03-14,118,58,25,7
2015-03-15,118,49,16,2
2015-03-16,118,NA,NA,NA
2015-03-17,118,27,10,1
2015-03-18,118,65,25,7
2015-03-19,118,49,22,3
2015-03-20,118,NA,NA,NA
2015-03-21,118,52,20,3
2015-03-22,118,34,17,3
2015-03-23,118,30,15,5
2015-03-24,118,40,18,2
2015-03-25,118,62,29,11
2015-03-26,118,NA,NA,NA
2015-03-27,118,58,33,13
2015-03-28,118,NA,NA,NA
2015-03-29,118,33,18,5
2015-03-30,118,NA,NA,NA
2015-03-31,118,NA,NA,NA
2015-04-01,118,33,11,2
2015-04-02,118,51,11,2
2015-04-03,118,26,9,2
2015-04-04,118,39,10,1
2015-04-05,118,NA,NA,NA
2015-04-06,118,53,29,4
2015-04-07,118,32,15,2
2015-04-08,118,71,22,2
2015-04-09,118,NA,NA,NA
2015-04-10,118,77,22,7
2015-04-11,118,62,31,5
2015-04-12,118,NA,NA,NA
2015-04-13,118,NA,NA,NA
2015-04-14,118,NA,NA,NA
2015-04-15,118,NA,NA,NA
2015-04-16,118,NA,NA,NA
2015-04-17,118,59,27,10
2015-04-18,118,NA,NA,NA
2015-04-19,118,27,9,1
2015-04-20,118,63,10,3
2015-04-21,118,37,21,8
2015-04-22,118,NA,NA,NA
2015-04-23,118,NA,NA,NA
2015-04-24,118,NA,NA,NA
2015-04-25,118,NA,NA,NA
2015-04-26,118,NA,NA,NA
2015-04-27,118,NA,NA,NA
2015-04-28,118,NA,NA,NA
2015-04-29,118,38,22,4
2015-04-30,118,66,32,9
2015-05-01,118,NA,NA,NA
2015-05-02,118,NA,NA,NA
2015-05-03,118,28,8,3
2015-05-04,118,30,8,3
2015-05-05,118,31,8,1
2015-05-06,118,70,17,6
2015-05-07,118,53,10,3
2015-05-08,118,41,22,6
2015-05-09,118,NA,NA,NA
2015-05-10,118,NA,NA,NA
2015-05-11,118,28,5,0
2015-05-12,118,44,15,6
2015-05-13,118,41,8,1
2015-05-14,118,36,6,2
2015-05-15,118,NA,NA,NA
2015-05-16,118,25,5,1
2015-05-17,118,72,40,16
2015-05-18,118,37,19,5
2015-05-19,118,50,28,8
2015-05-20,118,61,24,6
2015-05-21,118,44,26,6
2015-05-22,118,NA,NA,NA
2015-05-23,118,34,17,5
2015-05-24,118,56,34,9
2015-05-25,118,NA,NA,NA
2015-05-26,118,38,15,2
2015-05-27,118,77,16,3
2015-05-28,118,38,16,6
2015-05-29,118,31,12,3
2015-05-30,118,NA,NA,NA
2015-05-31,118,NA,NA,NA
2015-06-01,118,NA,NA,NA
2015-06-02,118,NA,NA,NA
2015-06-03,118,NA,NA,NA
2015-06-04,118,NA,NA,NA
2015-06-05,118,NA,NA,NA
2015-06-06,118,59,17,4
2015-06-07,118,NA,NA,NA
2015-06-08,118,37,7,1
2015-06-09,118,31,7,1
2015-06-10,118,47,25,9
2015-06-11,118,NA,NA,NA
2015-06-12,118,NA,NA,NA
2015-06-13,118,58,25,7
2015-06-14,118,NA,NA,NA
2015-06-15,118,72,19,6
2015-06-16,118,77,49,16
2015-06-17,118,71,16,4
2015-06-18,118,NA,NA,NA
2015-06-19,118,NA,NA,NA
2015-06-20,118,NA,NA,NA
2015-06-21,118,NA,NA,NA
2015-06-22,118,50,13,3
2015-06-23,118,NA,NA,NA
2015-06-24,118,NA,NA,NA
2015-06-25,118,47,15,4
2015-06-26,118,57,8,2
2015-06-27,118,NA,NA,NA
2015-06-28,118,NA,NA,NA
2015-06-29,118,24,4,1
2015-06-30,118,67,34,14
2015-07-01,118,NA,NA,NA
2015-07-02,118,68,42,17
2015-07-03,118,NA,NA,NA
2015-07-04,118,53,28,7
2015-07-05,118,NA,NA,NA
2015-07-06,118,68,10,4
2015-07-07,118,NA,NA,NA
2015-07-08,118,NA,NA,NA
2015-07-09,118,NA,NA,NA
2015-07-10,118,NA,NA,NA
2015-07-11,118,64,29,11
2015-07-12,118,39,16,6
2015-07-13,118,76,19,3
2015-07-14,118,NA,NA,NA
2015-07-15,118,NA,NA,NA
2015-07-16,118,34,10,3
2015-07-17,118,54,11,1
2015-07-18,118,NA,NA,NA
2015-07-19,118,NA,NA,NA
2015-07-20,118,NA,NA,NA
2015-07-21,118,NA,NA,NA
2015-07-22,118,NA,NA,NA
2015-07-23,118,58,11,3
2015-07-24,118,NA,NA,NA
2015-07-25,118,NA,NA,NA
2015-07-26,118,NA,NA,NA
2015-07-27,118,73,26,11
2015-07-28,118,NA,NA,NA
2015-07-29,118,NA,NA,NA
2015-07-30,118,NA,NA,NA
2015-07-31,118,NA,NA,NA
2015-08-01,118,NA,NA,NA
2015-08-02,118,51,9,3
2015-08-03,118,NA,NA,NA
2015-08-04,118,NA,NA,NA
2015-08-05,118,75,18,5
2015-08-06,118,NA,NA,NA
2015-08-07,118,NA,NA,NA
2015-08-08,118,34,12,3
2015-08-09,118,NA,NA,NA
2015-08-10,118,NA,NA,NA
2015-08-11,118,65,24,5
2015-08-12,118,52,6,2
2015-08-13,118,73,44,8
2015-08-14,118,68,27,11
2015-08-15,118,36,9,1
2015-08-16,118,55,26,8
2015-08-17,118,NA,NA,NA
2015-08-18,118,NA,NA,NA
2015-08-19,118,34,20,8
2015-08-20,118,69,26,9
2015-08-21,118,41,19,2
2015-08-22,118,NA,NA,NA
2015-08-23,118,NA,NA,NA
2015-08-24,118,NA,NA,NA
2015-08-25,118,62,17,3
2015-08-26,118,25,11,2
2015-08-27,118,NA,NA,NA
2015-08-28,118,NA,NA,NA
2015-08-29,118,48,12,1
2015-08-30,118,NA,NA,NA
2015-08-31,118,NA,NA,NA
