"date","id","totalCalls","answeredCalls","sales"
2015-01-01,74,37,16,2
2015-01-02,74,53,25,8
2015-01-03,74,38,8,2
2015-01-04,74,NA,NA,NA
2015-01-05,74,NA,NA,NA
2015-01-06,74,NA,NA,NA
2015-01-07,74,52,22,7
2015-01-08,74,NA,NA,NA
2015-01-09,74,NA,NA,NA
2015-01-10,74,NA,NA,NA
2015-01-11,74,NA,NA,NA
2015-01-12,74,NA,NA,NA
2015-01-13,74,NA,NA,NA
2015-01-14,74,NA,NA,NA
2015-01-15,74,NA,NA,NA
2015-01-16,74,33,14,4
2015-01-17,74,NA,NA,NA
2015-01-18,74,NA,NA,NA
2015-01-19,74,69,24,3
2015-01-20,74,NA,NA,NA
2015-01-21,74,NA,NA,NA
2015-01-22,74,27,7,1
2015-01-23,74,71,15,5
2015-01-24,74,50,11,1
2015-01-25,74,49,20,8
2015-01-26,74,46,25,10
2015-01-27,74,51,14,4
2015-01-28,74,50,24,5
2015-01-29,74,NA,NA,NA
2015-01-30,74,NA,NA,NA
2015-01-31,74,NA,NA,NA
2015-02-01,74,34,9,1
2015-02-02,74,59,12,4
2015-02-03,74,31,16,3
2015-02-04,74,NA,NA,NA
2015-02-05,74,44,12,3
2015-02-06,74,NA,NA,NA
2015-02-07,74,NA,NA,NA
2015-02-08,74,NA,NA,NA
2015-02-09,74,NA,NA,NA
2015-02-10,74,34,17,6
2015-02-11,74,56,27,5
2015-02-12,74,NA,NA,NA
2015-02-13,74,NA,NA,NA
2015-02-14,74,NA,NA,NA
2015-02-15,74,60,32,11
2015-02-16,74,59,24,5
2015-02-17,74,NA,NA,NA
2015-02-18,74,NA,NA,NA
2015-02-19,74,NA,NA,NA
2015-02-20,74,40,15,6
2015-02-21,74,36,12,2
2015-02-22,74,NA,NA,NA
2015-02-23,74,NA,NA,NA
2015-02-24,74,NA,NA,NA
2015-02-25,74,NA,NA,NA
2015-02-26,74,NA,NA,NA
2015-02-27,74,31,11,3
2015-02-28,74,NA,NA,NA
2015-03-01,74,62,17,4
2015-03-02,74,58,31,10
2015-03-03,74,NA,NA,NA
2015-03-04,74,NA,NA,NA
2015-03-05,74,NA,NA,NA
2015-03-06,74,69,20,5
2015-03-07,74,NA,NA,NA
2015-03-08,74,46,14,3
2015-03-09,74,62,32,8
2015-03-10,74,NA,NA,NA
2015-03-11,74,NA,NA,NA
2015-03-12,74,33,6,2
2015-03-13,74,NA,NA,NA
2015-03-14,74,34,9,2
2015-03-15,74,69,17,7
2015-03-16,74,52,23,9
2015-03-17,74,36,13,5
2015-03-18,74,NA,NA,NA
2015-03-19,74,52,21,4
2015-03-20,74,36,12,4
2015-03-21,74,NA,NA,NA
2015-03-22,74,41,12,4
2015-03-23,74,56,16,3
2015-03-24,74,NA,NA,NA
2015-03-25,74,43,15,2
2015-03-26,74,38,15,4
2015-03-27,74,40,14,5
2015-03-28,74,58,13,5
2015-03-29,74,NA,NA,NA
2015-03-30,74,NA,NA,NA
2015-03-31,74,NA,NA,NA
2015-04-01,74,NA,NA,NA
