"date","id","totalCalls","answeredCalls","sales"
2015-01-01,115,NA,NA,NA
2015-01-02,115,NA,NA,NA
2015-01-03,115,NA,NA,NA
2015-01-04,115,28,12,3
2015-01-05,115,NA,NA,NA
2015-01-06,115,NA,NA,NA
2015-01-07,115,NA,NA,NA
2015-01-08,115,76,24,10
2015-01-09,115,77,20,2
2015-01-10,115,NA,NA,NA
2015-01-11,115,NA,NA,NA
2015-01-12,115,NA,NA,NA
2015-01-13,115,48,21,4
2015-01-14,115,NA,NA,NA
2015-01-15,115,24,14,1
2015-01-16,115,NA,NA,NA
2015-01-17,115,NA,NA,NA
2015-01-18,115,64,30,11
2015-01-19,115,36,21,7
2015-01-20,115,NA,NA,NA
2015-01-21,115,NA,NA,NA
2015-01-22,115,NA,NA,NA
2015-01-23,115,NA,NA,NA
2015-01-24,115,NA,NA,NA
2015-01-25,115,NA,NA,NA
2015-01-26,115,NA,NA,NA
2015-01-27,115,NA,NA,NA
2015-01-28,115,NA,NA,NA
2015-01-29,115,NA,NA,NA
2015-01-30,115,NA,NA,NA
2015-01-31,115,25,12,4
2015-02-01,115,NA,NA,NA
2015-02-02,115,24,7,0
2015-02-03,115,NA,NA,NA
2015-02-04,115,NA,NA,NA
2015-02-05,115,NA,NA,NA
2015-02-06,115,56,36,10
2015-02-07,115,NA,NA,NA
2015-02-08,115,NA,NA,NA
2015-02-09,115,NA,NA,NA
2015-02-10,115,55,32,8
2015-02-11,115,68,24,3
2015-02-12,115,NA,NA,NA
2015-02-13,115,NA,NA,NA
2015-02-14,115,54,27,8
2015-02-15,115,NA,NA,NA
2015-02-16,115,NA,NA,NA
2015-02-17,115,NA,NA,NA
2015-02-18,115,NA,NA,NA
2015-02-19,115,NA,NA,NA
2015-02-20,115,NA,NA,NA
2015-02-21,115,34,18,1
2015-02-22,115,NA,NA,NA
2015-02-23,115,NA,NA,NA
2015-02-24,115,NA,NA,NA
2015-02-25,115,36,17,6
2015-02-26,115,49,28,8
2015-02-27,115,NA,NA,NA
2015-02-28,115,57,32,13
2015-03-01,115,46,29,6
2015-03-02,115,61,33,14
2015-03-03,115,NA,NA,NA
2015-03-04,115,NA,NA,NA
2015-03-05,115,NA,NA,NA
2015-03-06,115,NA,NA,NA
2015-03-07,115,25,11,4
2015-03-08,115,NA,NA,NA
2015-03-09,115,47,21,2
2015-03-10,115,40,19,3
2015-03-11,115,NA,NA,NA
2015-03-12,115,NA,NA,NA
2015-03-13,115,NA,NA,NA
2015-03-14,115,NA,NA,NA
2015-03-15,115,NA,NA,NA
2015-03-16,115,NA,NA,NA
2015-03-17,115,65,29,8
2015-03-18,115,NA,NA,NA
2015-03-19,115,24,8,3
2015-03-20,115,NA,NA,NA
2015-03-21,115,NA,NA,NA
2015-03-22,115,NA,NA,NA
2015-03-23,115,NA,NA,NA
2015-03-24,115,NA,NA,NA
2015-03-25,115,66,31,8
2015-03-26,115,NA,NA,NA
2015-03-27,115,NA,NA,NA
2015-03-28,115,NA,NA,NA
2015-03-29,115,NA,NA,NA
2015-03-30,115,NA,NA,NA
2015-03-31,115,NA,NA,NA
2015-04-01,115,NA,NA,NA
2015-04-02,115,39,14,5
2015-04-03,115,NA,NA,NA
2015-04-04,115,NA,NA,NA
2015-04-05,115,64,38,9
2015-04-06,115,NA,NA,NA
2015-04-07,115,NA,NA,NA
2015-04-08,115,51,21,5
2015-04-09,115,NA,NA,NA
2015-04-10,115,NA,NA,NA
2015-04-11,115,NA,NA,NA
2015-04-12,115,75,19,2
2015-04-13,115,NA,NA,NA
2015-04-14,115,72,33,12
2015-04-15,115,NA,NA,NA
2015-04-16,115,NA,NA,NA
2015-04-17,115,NA,NA,NA
2015-04-18,115,NA,NA,NA
2015-04-19,115,NA,NA,NA
2015-04-20,115,NA,NA,NA
2015-04-21,115,NA,NA,NA
2015-04-22,115,NA,NA,NA
2015-04-23,115,63,32,4
2015-04-24,115,NA,NA,NA
2015-04-25,115,NA,NA,NA
2015-04-26,115,78,22,4
2015-04-27,115,NA,NA,NA
2015-04-28,115,NA,NA,NA
2015-04-29,115,40,24,2
2015-04-30,115,NA,NA,NA
2015-05-01,115,NA,NA,NA
2015-05-02,115,56,15,4
2015-05-03,115,NA,NA,NA
2015-05-04,115,NA,NA,NA
2015-05-05,115,NA,NA,NA
2015-05-06,115,NA,NA,NA
2015-05-07,115,NA,NA,NA
2015-05-08,115,NA,NA,NA
2015-05-09,115,44,22,4
2015-05-10,115,26,8,2
2015-05-11,115,46,23,6
2015-05-12,115,63,38,10
2015-05-13,115,71,31,8
2015-05-14,115,NA,NA,NA
2015-05-15,115,NA,NA,NA
2015-05-16,115,NA,NA,NA
2015-05-17,115,NA,NA,NA
2015-05-18,115,72,40,9
2015-05-19,115,40,12,4
2015-05-20,115,NA,NA,NA
2015-05-21,115,NA,NA,NA
2015-05-22,115,NA,NA,NA
2015-05-23,115,30,7,2
2015-05-24,115,NA,NA,NA
2015-05-25,115,63,21,6
2015-05-26,115,23,14,1
2015-05-27,115,NA,NA,NA
2015-05-28,115,27,16,3
2015-05-29,115,NA,NA,NA
2015-05-30,115,NA,NA,NA
2015-05-31,115,NA,NA,NA
2015-06-01,115,NA,NA,NA
2015-06-02,115,NA,NA,NA
2015-06-03,115,NA,NA,NA
2015-06-04,115,NA,NA,NA
2015-06-05,115,NA,NA,NA
2015-06-06,115,NA,NA,NA
2015-06-07,115,NA,NA,NA
2015-06-08,115,61,39,4
2015-06-09,115,NA,NA,NA
2015-06-10,115,NA,NA,NA
2015-06-11,115,43,12,5
2015-06-12,115,NA,NA,NA
2015-06-13,115,NA,NA,NA
2015-06-14,115,NA,NA,NA
2015-06-15,115,NA,NA,NA
